expiry_gap_hours,food_category,quantity_kg,storage_temp_c,donor_type,preparation_method,distance_to_ngo_km,donation_frequency,time_of_day,ambient_humidity,packaging_integrity,seasonal_indicator,urgency_class,food_category_enc,donor_type_enc,prep_method_enc,seasonal_enc,urgency_enc
27.28,Dairy Products,36.7,7.7,corporate,processed,5.1,19,2.4,57.6,0.53,spring,Moderate,4,0,3,1,3
51.13,Dairy Products,48.5,2.1,event,raw,5.9,1,7.3,61.5,0.6,summer,Low,4,1,4,2,2
38.02,Dairy Products,2.8,4.4,event,packaged,11.8,3,20.6,70.8,0.62,winter,Low,4,1,2,3,2
68.35,Dairy Products,40.5,7.8,restaurant,raw,3.4,15,16.3,66.6,0.88,monsoon,Low,4,3,4,0,2
65.52,Dairy Products,33.3,3.6,supermarket,raw,17.2,18,18.5,86.4,0.93,winter,Low,4,4,4,3,2
52.5,Dairy Products,28.7,4.0,event,cooked,28.9,16,17.9,62.4,0.71,summer,Low,4,1,0,2,2
20.59,Dairy Products,7.5,5.3,corporate,cooked,1.0,9,18.5,41.9,0.3,monsoon,High,4,0,0,0,1
14.72,Dairy Products,39.6,6.3,household,processed,27.8,9,21.9,81.0,0.61,summer,High,4,2,3,2,1
5.04,Dairy Products,16.6,3.9,household,frozen,19.3,3,11.3,37.2,0.8,summer,High,4,2,1,2,1
52.1,Dairy Products,13.2,3.4,household,cooked,21.5,10,10.5,42.1,0.93,summer,Low,4,2,0,2,2
22.98,Dairy Products,45.4,5.1,corporate,packaged,6.5,13,1.8,47.4,0.41,winter,High,4,0,2,3,1
45.14,Dairy Products,5.7,3.8,event,frozen,6.9,11,7.8,37.3,0.55,winter,Low,4,1,1,3,2
8.37,Dairy Products,21.6,3.4,event,processed,25.9,7,3.9,62.0,0.64,summer,High,4,1,3,2,1
9.07,Dairy Products,47.2,4.0,restaurant,frozen,11.2,17,6.1,44.8,0.79,monsoon,High,4,3,1,0,1
22.01,Dairy Products,2.3,3.7,restaurant,raw,15.3,5,8.2,68.1,0.78,summer,High,4,3,4,2,1
35.5,Dairy Products,12.5,7.9,event,packaged,11.4,17,17.4,52.1,0.74,winter,Moderate,4,1,2,3,3
29.02,Dairy Products,40.0,6.9,restaurant,frozen,15.5,16,1.0,65.5,0.77,monsoon,Moderate,4,3,1,0,3
51.35,Dairy Products,17.8,6.9,event,cooked,20.9,7,22.4,38.3,0.54,summer,Low,4,1,0,2,2
15.45,Dairy Products,34.9,5.2,event,raw,29.5,17,5.8,35.6,0.93,summer,High,4,1,4,2,1
63.61,Dairy Products,14.3,3.1,household,packaged,25.8,1,15.3,35.0,0.41,winter,Low,4,2,2,3,2
48.33,Dairy Products,18.9,5.5,restaurant,packaged,29.2,18,3.8,62.9,0.78,spring,Low,4,3,2,1,2
71.6,Dairy Products,1.4,3.1,corporate,frozen,11.3,8,20.3,69.5,0.7,spring,Low,4,0,1,1,2
36.88,Dairy Products,12.9,5.8,corporate,packaged,26.8,2,8.4,68.7,0.77,summer,Low,4,0,2,2,2
14.46,Dairy Products,14.4,6.3,household,cooked,1.8,12,22.5,87.2,0.94,monsoon,High,4,2,0,0,1
53.96,Dairy Products,16.9,7.7,corporate,packaged,29.4,1,7.6,40.2,0.69,monsoon,Low,4,0,2,0,2
60.86,Dairy Products,4.0,7.6,supermarket,raw,8.0,10,21.0,74.4,0.79,monsoon,Low,4,4,4,0,2
51.19,Dairy Products,15.2,5.3,supermarket,packaged,8.1,13,2.0,30.3,0.74,spring,Low,4,4,2,1,2
